Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,TF31-50S-0.5SH_800_,HRS_TF31-50S-0.5SH_CableFingers,90.12,-83.75,90.0,top
J2,TF31-50S-0.5SH_800_,HRS_TF31-50S-0.5SH_CableFingers,191.2725,-83.75,90.0,top
