Comment,Designator,Footprint,LCSC,Quantity
TF31-50S-0.5SH_800_,J1,HRS_TF31-50S-0.5SH_CableFingers,,1
TF31-50S-0.5SH_800_,J2,HRS_TF31-50S-0.5SH_CableFingers,,1
